목적지	국가	지역
부산(PUS)	국내선	국내선
대구(TAE)	국내선	국내선
김해(PUS)	국내선	국내선
무안(MWX)	국내선	국내선
김포(GMP)	국내선	국내선
청주(CJJ)	국내선	국내선
제주(CJU)	국내선	국내선
아테네(ATH)	그리스	유럽
일루리사트공항(JAV)	그린란드	유럽
암스테르담(AMS)	네덜란드	유럽
카트만두(KTM)	네팔	기타
오슬로(OSL)	노르웨이	유럽
오클랜드(뉴질랜드)(AKL)	뉴질랜드	대양주
타이중/칭촨강(RMQ)	대만	동북아
타이베이(TPE)	대만	동북아
가오슝(KHH)	대만	동북아
뮌헨(MUC)	독일	유럽
프랑크푸르트(FRA)	독일	유럽
팍세(PKZ)	라오스	동남아
비엔티안(VTE)	라오스	동남아
리가(RIX)	라트비아	유럽
이르쿠츠크(IKT)	러시아	유럽
야쿠츠크(YKS)	러시아	유럽
모스크바(SVO)	러시아	유럽
블라디보스토크(VVO)	러시아	유럽
하바로프스크(KHV)	러시아	유럽
노보시비르스크(OVB)	러시아	유럽
사할린(UUS)	러시아	유럽
울란우데(UUD)	러시아	유럽
상트페테르부르크(LED)	러시아	유럽
페트로파블로프스크(PKC)	러시아	유럽
베이루트(BEY)	레바논	중동
쿠알라룸푸르(KUL)	말레이시아	동남아
코타키나발루(BKI)	말레이시아	동남아
조호바루(JHB)	말레이시아	동남아
멕시코시티(MEX)	멕시코	미주
말레(MLE)	몰디브	기타
울란바토르(ULN)	몽골	동북아
신울란바토르(UBN)	몽골	동북아
서울/인천(ICN)	무착륙	무착륙
댈러스/댈러스포트워스(DFW)	미국	미주
애틀랜타(ATL)	미국	미주
사이판(SPN)	미국	미주
괌(GUM)	미국	미주
뉴욕/존에프케네디(JFK)	미국	미주
워싱턴(IAD)	미국	미주
디트로이트(DTW)	미국	미주
시카고/오헤어(ORD)	미국	미주
샌프란시스코(SFO)	미국	미주
로스앤젤레스(LAX)	미국	미주
시애틀(SEA)	미국	미주
호놀룰루(HNL)	미국	미주
미니애폴리스(MSP)	미국	미주
라스베이거스(LAS)	미국	미주
보스턴(BOS)	미국	미주
뉴어크(EWR)	미국	미주
앵커리지(ANC)	미국	미주
신시내티(CVG)	미국	미주
산호세(SJC)	미국	미주
댈러스포트워스(DFW)	미국	미주
시애틀(BFI)	미국	미주
킬린(GRK)	미국	미주
솔트레이크시티(SLC)	미국	미주
양곤(RGN)	미얀마	동남아
다카(DAC)	방글라데시	기타
(VDO)	베트남	동남아
번돈국제공항(VDO)	베트남	동남아
호찌민(SGN)	베트남	동남아
하노이(HAN)	베트남	동남아
나트랑(CXR)	베트남	동남아
두옹당(푸꿕)(PQC)	베트남	동남아
다낭(DAD)	베트남	동남아
하이퐁(HPH)	베트남	동남아
달랏(DLI)	베트남	동남아
껀터국제공항(VCA)	베트남	동남아
(HUI)	베트남	동남아
푸바이국제공항(HUI)	베트남	동남아
푸꾸옥(PQC)	베트남	동남아
반다르스리브가완(BWN)	브루나이	동남아
제다(JED)	사우디아라비아	중동
리야드(RUH)	사우디아라비아	중동
콜롬보(CMB)	스리랑카	기타
취리히(ZRH)	스위스	유럽
제네바(GVA)	스위스	유럽
바르셀로나(BCN)	스페인	유럽
마드리드(MAD)	스페인	유럽
브라티슬라바(BTS)	슬로바키아	유럽
싱가포르(SIN)	싱가포르	동남아
두바이(DXB)	아랍에미리트	중동
아부다비(AUH)	아랍에미리트	중동
쯔바르트노츠(EVN)	아르메니아	유럽
볼레(아디스아바바)(ADD)	에티오피아	기타
아디스아바바/볼레(ADD)	에티오피아	기타
런던/히드로(LHR)	영국	유럽
비엔나(VIE)	오스트리아	유럽
암만(AMM)	요르단	중동
타슈켄트(TAS)	우즈베키스탄	유럽
바스라(BSR)	이라크	중동
텔아비브(TLV)	이스라엘	중동
카이로(CAI)	이집트	기타
베니스(VCE)	이탈리아	유럽
밀라노(MXP)	이탈리아	유럽
로마(FCO)	이탈리아	유럽
뭄바이(BOM)	인도	기타
델리(DEL)	인도	기타
방갈로르(BLR)	인도	기타
캘거타(CCU)	인도	기타
첸나이(MAA)	인도	기타
자카르타/수카르노하타(CGK)	인도네시아	동남아
덴파사르(DPS)	인도네시아	동남아
바탐(BTH)	인도네시아	동남아
삿포로(CTS)	일본	일본
나고야(NGO)	일본	일본
후쿠오카(FUK)	일본	일본
